Frame Roll Pitch Yaw
264 270 167 230 172
265 270 167 230 171
266 270 167 230 172
267 270 167 230 171
268 270 167 230 171
269 270 167 230 172
270 270 167 230 171
271 270 167 230 171
272 270 167 230 171
273 270 167 230 171
274 270 167 230 171
275 270 167 230 171
276 270 167 230 172
277 270 167 230 171
278 270 167 230 172
279 270 167 230 172
280 271 167 230 171
281 271 167 231 171
282 271 167 230 171
283 271 167 231 172
284 271 167 230 172
285 271 167 231 171
286 271 167 231 171
287 271 167 231 171
288 271 167 231 172
289 271 167 231 171
290 271 167 231 171
291 271 167 231 171
292 271 167 231 171
293 271 167 231 171
294 271 167 231 171
295 271 167 231 171
296 271 167 231 171
297 271 167 231 171
298 271 167 231 172
299 271 167 231 171
300 271 166 231 171
301 271 167 231 171
302 272 167 231 171
303 271 167 231 171
304 271 167 231 171
305 271 167 231 171
306 271 166 232 171
307 271 167 231 171
308 271 167 232 171
309 272 167 232 171
310 272 168 232 172
311 273 167 233 172
312 273 167 233 172
313 273 167 233 172
314 273 167 234 171
315 273 167 233 171
316 274 167 234 172
317 274 167 234 172
318 273 167 233 172
319 273 167 233 171
320 274 167 234 171
321 273 167 233 171
322 273 167 234 171
323 274 167 234 172
324 274 167 234 171
325 274 167 234 171
326 274 167 234 171
327 274 167 234 171
328 274 167 234 171
329 274 167 234 171
330 274 168 235 171
331 274 167 235 171
332 275 167 234 171
333 275 167 235 171
334 275 167 235 171
335 275 167 235 171
336 275 167 235 171
337 275 167 236 171
338 275 167 236 171
339 276 167 236 171
340 276 167 236 171
341 276 167 236 171
342 276 167 236 171
343 276 167 236 171
344 277 167 237 171
345 277 167 237 171
346 277 167 237 171
347 278 167 238 171
348 277 166 238 170
349 278 167 238 170
350 278 166 238 170
351 279 166 238 170
352 279 166 239 170
353 279 166 239 170
354 279 166 239 170
355 279 166 239 170
356 279 166 240 170
357 279 166 240 170
358 280 166 240 169
359 280 166 240 169
360 280 166 240 169
361 280 166 240 170
362 280 166 240 170
363 280 166 241 169
364 280 166 240 169
365 280 166 241 169
366 280 166 241 170
367 280 167 241 170
368 280 166 241 170
369 280 166 241 170
370 280 166 241 169
371 281 166 241 170
372 281 166 241 170
373 281 166 241 170
374 282 167 242 170
375 282 166 242 170
376 282 167 242 170
377 283 167 243 169
378 283 167 243 169
379 284 167 244 169
380 285 167 245 170
381 286 167 246 169
382 287 167 247 169
383 288 167 248 169
384 289 167 250 168
385 290 167 251 169
386 291 167 252 169
387 292 167 252 168
388 293 167 253 168
389 293 168 253 168
390 293 167 253 168
391 293 167 254 168
392 294 166 254 167
393 294 165 255 166
394 294 164 255 165
395 294 164 255 165
396 295 164 255 166
397 295 165 256 166
