Frame Roll Pitch Yaw
335 1.91976 -3.60134 2.64953
336 2.13767 -3.46214 1.84566
337 1.05482 -3.82922 2.94906
338 1.3093 -3.29055 2.11857
339 0.27757 -3.33732 3.26163
340 1.24028 -2.55528 3.1782
341 -0.238951 -1.34673 3.05544
342 0.570091 -2.98776 2.72297
343 -0.403048 -1.50188 2.11415
344 0.807156 -2.39375 2.3521
345 1.98028 -2.48515 2.01141
346 0.80598 -2.32799 3.12289
347 1.01212 -2.72269 2.63376
348 1.28415 -1.64381 1.84222
349 4.62037 0.124613 3.64559
350 0.502532 -2.83566 2.2556
351 4.01437 0.247629 -2.11753
352 3.75112 -0.375184 1.5015
353 2.71963 -6.52967 2.95138
354 4.43883 -1.08315 -4.43011
355 3.03728 -5.81348 1.18769
356 3.84733 -4.94922 6.89683
357 3.04956 -5.54044 3.79542
358 4.41891 -5.36574 -0.514013
359 3.56112 -5.06854 -0.830448
360 3.52413 -4.60353 0.670424
361 4.42343 -3.55991 3.40152
362 3.32325 -4.36995 4.69548
363 4.91068 -4.10923 0.0658387
364 4.39848 -4.39112 3.5062
365 3.42752 -5.26356 -4.58608
366 5.1226 -2.0159 3.6313
367 3.93466 -3.56358 0.734433
368 3.69523 -3.5588 0.112439
369 4.13892 -3.93533 -2.19488
370 3.62621 -4.13989 -7.33747
371 3.40739 -1.71338 2.04874
372 3.28737 -2.97144 -8.82089
373 3.86202 -2.04254 -6.76184
374 2.84564 -3.20317 -6.26482
375 4.49336 -2.51473 -11.3595
376 0.52487 -1.40111 5.84921
377 4.84786 -1.7784 -10.8944
378 1.30328 0.467342 4.39571
379 1.40724 0.102464 4.05183
380 2.01089 -0.522236 3.62337
381 2.7768 1.66364 -0.408051
382 -0.316941 1.11508 0.318648
383 -1.88219 0.927235 -0.50185
384 -1.68921 1.06412 -1.78995
385 3.38266 -2.43767 -10.2396
386 3.00877 -3.5035 -12.5597
387 3.52152 -1.90236 -17.8789
388 4.92323 -1.54947 -23.7666
389 2.77066 -1.589 -22.1371
390 2.02182 -2.70918 -25.1506
391 -0.536266 1.86249 -2.40805
392 -0.173468 3.00594 -2.86837
393 0.156152 7.22213 -4.84111
394 1.24402 4.62633 -5.49901
395 2.52041 4.22917 -5.85472
396 0.731259 4.89538 -5.73824
397 -1.72168 3.96037 -5.71533
398 -2.19791 2.42816 -6.39469
399 -2.78885 1.54725 -7.05207
400 -1.82812 1.64352 -6.53439
401 -3.10672 1.83621 -6.9557
402 -2.46617 3.22867 -7.08622
403 -2.40256 2.43827 -6.71199
404 -1.06155 3.27498 -7.39661
405 -1.53443 3.55148 -6.85228
406 -2.18045 2.41895 -6.87221
407 -1.7861 1.43056 -6.24094
408 -1.96143 1.78641 -8.01679
409 -2.75107 0.890082 -7.44565
410 0.483485 0.634488 -8.37875
411 -0.951949 1.2681 -6.88424
412 -2.13825 1.91108 -3.97214
413 -1.68393 2.48133 0.374255
414 3.75184 -0.675322 -22.0149
415 3.91421 -2.65206 -11.4415
416 -2.68068 2.24233 1.72689
417 -0.308514 0.412628 1.92781
418 -0.0128027 -0.720294 2.94878
419 2.14109 -1.98399 4.66126
420 2.36728 -1.56595 6.61054
421 1.18041 -0.41753 6.23517
422 1.07313 -0.488066 6.86093
423 1.54294 -0.140256 7.07541
424 -1.33474 -0.793287 8.24955
425 0.0835967 -1.61634 6.9004
426 3.64316 -2.00383 -7.16507
427 3.15155 -2.08686 -2.40612
428 2.86463 1.06913 -8.56556
429 1.64019 1.98202 -11.5468
430 2.62943 0.100068 -12.3604
431 3.22497 -2.70579 -0.358161
432 1.58929 -2.39844 -0.324448
433 2.87276 -2.77923 -1.52491
434 1.32358 -2.74107 -1.7387
435 1.86034 -4.00231 0.932769
436 1.30786 -3.73251 -6.31605
437 3.17569 -3.53057 -4.58261
438 2.67736 -3.33529 -1.15672
439 4.21318 -2.23685 -6.75125
440 0.516452 -3.22523 -1.00534
441 2.92185 -2.80965 -0.679244
442 3.03608 -2.56057 -3.19053
443 3.39356 -2.75937 0.562155
444 2.18912 -2.75343 -5.34306
445 1.97032 -1.42702 -4.19329
446 3.31659 -3.5253 -3.59171
447 2.33194 -4.74974 -5.23456
448 1.97312 -4.78074 -0.443291
449 1.78854 -4.38523 -2.14955
450 2.56105 -3.59825 -1.42475
451 2.63271 -2.8221 -0.493974
452 2.13807 -2.93344 1.67248
453 2.16815 -3.53159 -4.01738
454 3.16872 -4.3365 -3.25069
455 4.10562 -2.37866 -4.3436
456 2.80631 -2.96084 -2.55398
457 3.39177 -2.47476 -2.08596
458 3.08016 -5.19821 -5.61342
459 2.78028 1.7944 -10.0472
460 4.40618 -2.74655 -3.25802
461 2.57244 0.66442 -9.53963
462 3.50773 -3.21419 -1.89795
463 5.59894 -2.76998 -2.46791
464 3.44524 1.59989 -7.0119
465 3.71074 1.27063 -7.09812
466 3.77249 1.80753 -6.31904
467 2.69844 -0.160496 -8.2008
468 2.97677 0.361579 -5.2769
469 3.61306 2.43942 -1.77203
470 3.57511 1.6243 -2.13185
471 4.44784 0.805987 6.81602
472 0.382899 -5.39152 7.57251
473 4.63805 -0.552672 21.1798
474 -1.1587 -4.93703 6.14903
475 1.32824 -4.31017 9.01414
476 -0.996308 -5.81705 11.0941
477 0.630058 -4.27658 15.1201
478 -0.000348128 -2.72985 15.1412
479 2.57606 -6.48329 11.5228
480 2.79736 -7.65101 7.87431
